GE!1418P!AP!!39401000036106!ticagrelor!35461000036107!ticagrelor 90 mg tablet, 56!Brilinta!35451000036109!Brilinta 90 mg tablet, 56!!56!114.52!114.52!
IP!4614W!EW!1 mg!21460011000036105!rituximab!22805011000036107!rituximab 500 mg/50 mL injection, vial!Truxima!1123861000168107!Truxima 500 mg/50 mL injection, 50 mL vial!500!800!972.17!972.17!
IP!4615X!RO!1 mg!21460011000036105!rituximab!22804011000036108!rituximab 100 mg/10 mL injection, vial!Mabthera!6234011000036109!Mabthera 100 mg/10 mL injection, 10 mL vial!100!800!194.44!194.44!
IP!4615X!RO!1 mg!21460011000036105!rituximab!22805011000036107!rituximab 500 mg/50 mL injection, vial!Mabthera!6235011000036108!Mabthera 500 mg/50 mL injection, 50 mL vial!500!800!972.17!972.17!
IP!4615X!SZ!1 mg!21460011000036105!rituximab!22804011000036108!rituximab 100 mg/10 mL injection, vial!Riximyo!1056431000168104!Riximyo 100 mg/10 mL injection, 10 mL vial!100!800!194.44!194.44!
IP!4615X!SZ!1 mg!21460011000036105!rituximab!22805011000036107!rituximab 500 mg/50 mL injection, vial!Riximyo!1056371000168108!Riximyo 500 mg/50 mL injection, 50 mL vial!500!800!972.17!972.17!
IP!4615X!EW!1 mg!21460011000036105!rituximab!22804011000036108!rituximab 100 mg/10 mL injection, vial!Truxima!1124031000168106!Truxima 100 mg/10 mL injection, 10 mL vial!100!800!194.44!194.44!
IP!4615X!EW!1 mg!21460011000036105!rituximab!22805011000036107!rituximab 500 mg/50 mL injection, vial!Truxima!1123861000168107!Truxima 500 mg/50 mL injection, 50 mL vial!500!800!972.17!972.17!
IP!4617B!SZ!1 mcg!21571011000036101!topotecan!22759011000036102!topotecan 4 mg injection, vial!Hycamtin!6167011000036109!Hycamtin 4 mg powder for injection, 4 mg vial!4000!3500!32.08!32.08!
IP!4617B!OC!1 mcg!21571011000036101!topotecan!1461881000168108!topotecan 4 mg/4 mL injection, vial!Topotecan Accord!1461891000168106!Topotecan (Accord) 4 mg/4 mL injection, 4 mL vial!4000!3500!32.08!32.08!
IP!4618C!PF!1 mg!21466011000036108!vinblastine!22289011000036103!vinblastine sulfate 10 mg/10 mL injection, vial!DBL Vinblastine!5150011000036103!Vinblastine (DBL) 10 mg/10 mL injection, 10 mL vial!10!20!36.67!36.67!
IP!4619D!PF!1 mg!21749011000036104!vincristine!22288011000036106!vincristine sulfate 1 mg/mL injection, vial!DBL Vincristine Sulfate!5637011000036102!Vincristine Sulfate (DBL) 1 mg/mL injection, vial!1!2!8.92!8.92!
IP!4620E!FB!1 mg!21269011000036100!vinorelbine!23554011000036106!vinorelbine 10 mg/mL injection, vial!Navelbine!6301011000036106!Navelbine 10 mg/mL injection, vial!10!70!10.13!10.13!
IP!4620E!SZ!1 mg!21269011000036100!vinorelbine!23554011000036106!vinorelbine 10 mg/mL injection, vial!Vinorelbine Ebewe!5182011000036106!Vinorelbine (Ebewe) 10 mg/mL injection, vial!10!70!10.13!10.13!
IP!4620E!FB!1 mg!21269011000036100!vinorelbine!23639011000036104!vinorelbine 50 mg/5 mL injection, vial!Navelbine!6302011000036100!Navelbine 50 mg/5 mL injection, 5 mL vial!50!70!50.64!50.64!
IP!4620E!SZ!1 mg!21269011000036100!vinorelbine!23639011000036104!vinorelbine 50 mg/5 mL injection, vial!Vinorelbine Ebewe!7620011000036100!Vinorelbine (Ebewe) 50 mg/5 mL injection, 5 mL vial!50!70!50.64!50.64!
IP!4706Q!JC!1 mcg!21633011000036105!bortezomib!22006011000036104!bortezomib 3.5 mg injection, vial!Velcade!5681011000036104!Velcade 3.5 mg powder for injection, 3.5 mg vial!3500!3000!1465.47!1465.47!
IP!4706Q!JC!1 mcg!21633011000036105!bortezomib!739471000168105!bortezomib 3 mg injection, vial!Velcade!739481000168108!Velcade 3 mg powder for injection, 3 mg vial!3000!3000!1256.09!1256.09!
IP!4712B!JC!1 mcg!21633011000036105!bortezomib!22006011000036104!bortezomib 3.5 mg injection, vial!Velcade!5681011000036104!Velcade 3.5 mg powder for injection, 3.5 mg vial!3500!3000!1465.47!1465.47!
IP!4712B!JC!1 mcg!21633011000036105!bortezomib!739471000168105!bortezomib 3 mg injection, vial!Velcade!739481000168108!Velcade 3 mg powder for injection, 3 mg vial!3000!3000!1256.09!1256.09!
IP!4713C!JC!1 mcg!21633011000036105!bortezomib!22006011000036104!bortezomib 3.5 mg injection, vial!Velcade!5681011000036104!Velcade 3.5 mg powder for injection, 3.5 mg vial!3500!3000!1465.47!1465.47!
IP!4713C!JC!1 mcg!21633011000036105!bortezomib!739471000168105!bortezomib 3 mg injection, vial!Velcade!739481000168108!Velcade 3 mg powder for injection, 3 mg vial!3000!3000!1256.09!1256.09!
IP!4725Q!JC!1 mcg!21633011000036105!bortezomib!22006011000036104!bortezomib 3.5 mg injection, vial!Velcade!5681011000036104!Velcade 3.5 mg powder for injection, 3.5 mg vial!3500!3000!1465.47!1465.47!
IP!4725Q!JC!1 mcg!21633011000036105!bortezomib!739471000168105!bortezomib 3 mg injection, vial!Velcade!739481000168108!Velcade 3 mg powder for injection, 3 mg vial!3000!3000!1256.09!1256.09!
IP!4731B!SG!1 mg!21547011000036105!cetuximab!34858011000036102!cetuximab 100 mg/20 mL injection, vial!Erbitux!33990011000036101!Erbitux 100 mg/20 mL injection, 20 mL vial!100!550!291.56!291.56!
IP!4731B!SG!1 mg!21547011000036105!cetuximab!34859011000036105!cetuximab 500 mg/100 mL injection, vial!Erbitux!33991011000036108!Erbitux 500 mg/100 mL injection, 100 mL vial!500!550!1457.78!1457.78!
IP!4732C!JC!1 mcg!21633011000036105!bortezomib!78391000036100!bortezomib 1 mg injection, vial!Velcade!78381000036102!Velcade 1 mg powder for injection, vial!1000!3000!418.70!418.70!
IP!4732C!JC!1 mcg!21633011000036105!bortezomib!739471000168105!bortezomib 3 mg injection, vial!Velcade!739481000168108!Velcade 3 mg powder for injection, 3 mg vial!3000!3000!1256.09!1256.09!
IP!4403R!JC!1 mcg!21633011000036105!bortezomib!78391000036100!bortezomib 1 mg injection, vial!Velcade!78381000036102!Velcade 1 mg powder for injection, vial!1000!3000!418.70!418.70!
IP!4403R!JC!1 mcg!21633011000036105!bortezomib!739471000168105!bortezomib 3 mg injection, vial!Velcade!739481000168108!Velcade 3 mg powder for injection, 3 mg vial!3000!3000!1256.09!1256.09!
IP!4429D!JC!1 mcg!21633011000036105!bortezomib!78391000036100!bortezomib 1 mg injection, vial!Velcade!78381000036102!Velcade 1 mg powder for injection, vial!1000!3000!418.70!418.70!
IP!4429D!JC!1 mcg!21633011000036105!bortezomib!739471000168105!bortezomib 3 mg injection, vial!Velcade!739481000168108!Velcade 3 mg powder for injection, 3 mg vial!3000!3000!1256.09!1256.09!
IP!11951B!RO!1 mg!160691000036106!trastuzumab emtansine!158051000036103!trastuzumab emtansine 100 mg injection, vial!Kadcyla!158041000036101!Kadcyla 100 mg powder for injection, 100 mg vial!100!450!1643.02!1643.02!
IP!11951B!RO!1 mg!160691000036106!trastuzumab emtansine!158031000036106!trastuzumab emtansine 160 mg injection, vial!Kadcyla!158021000036109!Kadcyla 160 mg powder for injection, 160 mg vial!160!450!2628.82!2628.82!
IP!2641B!BQ!1 mg!132101000036102!ipilimumab!124211000036100!ipilimumab 200 mg/40 mL injection, vial!Yervoy!124201000036102!Yervoy 200 mg/40 mL injection, 40 mL vial!200!360!22503.70!22503.70!
IP!2641B!BQ!1 mg!132101000036102!ipilimumab!124171000036103!ipilimumab 50 mg/10 mL injection, vial!Yervoy!124161000036106!Yervoy 50 mg/10 mL injection, 10 mL vial!50!360!5625.92!5625.92!
IP!10144X!EI!1 mg!668911000168104!eribulin!668921000168106!eribulin mesilate 1 mg/2 mL injection, vial!Halaven!668931000168109!Halaven 1 mg/2 mL injection, 2 mL vial!1!3!228.00!228.00!
IP!10115J!RO!1 mg!44904011000036105!bevacizumab!45380011000036101!bevacizumab 100 mg/4 mL injection, vial!Avastin!40416011000036104!Avastin 100 mg/4 mL injection, 4 mL vial!100!900!303.94!303.94!
IP!10115J!RO!1 mg!44904011000036105!bevacizumab!45381011000036108!bevacizumab 400 mg/16 mL injection, vial!Avastin!40417011000036101!Avastin 400 mg/16 mL injection, 16 mL vial!400!900!1215.75!1215.75!
IP!10121Q!RO!1 mg!44904011000036105!bevacizumab!45381011000036108!bevacizumab 400 mg/16 mL injection, vial!Avastin!40417011000036101!Avastin 400 mg/16 mL injection, 16 mL vial!400!900!1215.75!1215.75!
IP!10121Q!RO!1 mg!44904011000036105!bevacizumab!45380011000036101!bevacizumab 100 mg/4 mL injection, vial!Avastin!40416011000036104!Avastin 100 mg/4 mL injection, 4 mL vial!100!900!303.94!303.94!
IP!10082P!AN!1 mg!73357011000036107!panitumumab!73364011000036109!panitumumab 100 mg/5 mL injection, vial!Vectibix!72962011000036103!Vectibix 100 mg/5 mL injection, 5 mL vial!100!720!474.13!474.13!
IP!10082P!AN!1 mg!73357011000036107!panitumumab!651031000168108!panitumumab 400 mg/20 mL injection, vial!Vectibix!651041000168104!Vectibix 400 mg/20 mL injection, 20 mL vial!400!720!1896.49!1896.49!
IP!10513H!AN!1 mg!73357011000036107!panitumumab!651031000168108!panitumumab 400 mg/20 mL injection, vial!Vectibix!651041000168104!Vectibix 400 mg/20 mL injection, 20 mL vial!400!720!1896.49!1896.49!
IP!10513H!AN!1 mg!73357011000036107!panitumumab!73364011000036109!panitumumab 100 mg/5 mL injection, vial!Vectibix!72962011000036103!Vectibix 100 mg/5 mL injection, 5 mL vial!100!720!474.13!474.13!
IP!10267J!RO!1 mg!132061000036104!pertuzumab!125431000036109!pertuzumab 420 mg/14 mL injection, vial!Perjeta!1085731000168106!Perjeta 420 mg/14 mL injection, 14 mL vial!420!840!3072.37!3072.37!
IP!10333W!RO!1 mg!132061000036104!pertuzumab!125431000036109!pertuzumab 420 mg/14 mL injection, vial!Perjeta!1085731000168106!Perjeta 420 mg/14 mL injection, 14 mL vial!420!420!3072.37!3072.37!
IP!10166C!TK!1 mg!678231000168105!brentuximab vedotin!678241000168101!brentuximab vedotin 50 mg injection, vial!Adcetris!678251000168104!Adcetris 50 mg powder for injection, 50 mg vial!50!200!4655.00!4655.00!
IP!10262D!SG!1 mg!21547011000036105!cetuximab!34858011000036102!cetuximab 100 mg/20 mL injection, vial!Erbitux!33990011000036101!Erbitux 100 mg/20 mL injection, 20 mL vial!100!550!291.56!291.56!
IP!10262D!SG!1 mg!21547011000036105!cetuximab!34859011000036105!cetuximab 500 mg/100 mL injection, vial!Erbitux!33991011000036108!Erbitux 500 mg/100 mL injection, 100 mL vial!500!550!1457.78!1457.78!
IP!10165B!TS!1 mg!73356011000036109!nanoparticle albumin-bound paclitaxel!1276331000168100!paclitaxel (as nanoparticle albumin-bound) 100 mg injection, vial!Abraxane!1276341000168109!Abraxane 100 mg powder for injection, 100 mg vial!100!275!343.27!343.27!
IP!10148D!PF!1 mg!21721011000036101!docetaxel!929726011000036104!docetaxel 160 mg/16 mL injection, vial!DBL Docetaxel Concentrated Injection!929403011000036107!Docetaxel (DBL) 160 mg/16 mL injection, 16 mL vial!160!250!48.24!48.24!
IP!10148D!PF!1 mg!21721011000036101!docetaxel!927715011000036109!docetaxel 80 mg/8 mL injection, vial!DBL Docetaxel Concentrated Injection!927586011000036103!Docetaxel (DBL) 80 mg/8 mL injection, 8 mL vial!80!250!24.12!24.12!
IP!10148D!OC!1 mg!21721011000036101!docetaxel!925384011000036109!docetaxel 80 mg/4 mL injection, vial!Docetaxel Accord!937551000168100!Docetaxel (Accord) 80 mg/4 mL injection, 4 mL vial!80!250!24.12!24.12!
IP!10148D!OC!1 mg!21721011000036101!docetaxel!748221000168101!docetaxel 160 mg/8 mL injection, vial!Docetaxel Accord!1045701000168107!Docetaxel (Accord) 160 mg/8 mL injection, 8 mL vial!160!250!48.24!48.24!
IP!10171H!TK!1 mg!678231000168105!brentuximab vedotin!678241000168101!brentuximab vedotin 50 mg injection, vial!Adcetris!678251000168104!Adcetris 50 mg powder for injection, 50 mg vial!50!200!4655.00!4655.00!
IP!10179R!RO!1 mg!21460011000036105!rituximab!22804011000036108!rituximab 100 mg/10 mL injection, vial!Mabthera!6234011000036109!Mabthera 100 mg/10 mL injection, 10 mL vial!100!800!194.44!194.44!
IP!10179R!RO!1 mg!21460011000036105!rituximab!22805011000036107!rituximab 500 mg/50 mL injection, vial!Mabthera!6235011000036108!Mabthera 500 mg/50 mL injection, 50 mL vial!500!800!972.17!972.17!
IP!10179R!SZ!1 mg!21460011000036105!rituximab!22804011000036108!rituximab 100 mg/10 mL injection, vial!Riximyo!1056431000168104!Riximyo 100 mg/10 mL injection, 10 mL vial!100!800!194.44!194.44!
IP!10179R!SZ!1 mg!21460011000036105!rituximab!22805011000036107!rituximab 500 mg/50 mL injection, vial!Riximyo!1056371000168108!Riximyo 500 mg/50 mL injection, 50 mL vial!500!800!972.17!972.17!
IP!10179R!EW!1 mg!21460011000036105!rituximab!22804011000036108!rituximab 100 mg/10 mL injection, vial!Truxima!1124031000168106!Truxima 100 mg/10 mL injection, 10 mL vial!100!800!194.44!194.44!
IP!10179R!EW!1 mg!21460011000036105!rituximab!22805011000036107!rituximab 500 mg/50 mL injection, vial!Truxima!1123861000168107!Truxima 500 mg/50 mL injection, 50 mL vial!500!800!972.17!972.17!
IP!11096B!TK!1 mg!678231000168105!brentuximab vedotin!678241000168101!brentuximab vedotin 50 mg injection, vial!Adcetris!678251000168104!Adcetris 50 mg powder for injection, 50 mg vial!50!200!4655.00!4655.00!
IP!10282E!RO!1 mg!160691000036106!trastuzumab emtansine!158031000036106!trastuzumab emtansine 160 mg injection, vial!Kadcyla!158021000036109!Kadcyla 160 mg powder for injection, 160 mg vial!160!450!2628.82!2628.82!
IP!10282E!RO!1 mg!160691000036106!trastuzumab emtansine!158051000036103!trastuzumab emtansine 100 mg injection, vial!Kadcyla!158041000036101!Kadcyla 100 mg powder for injection, 100 mg vial!100!450!1643.02!1643.02!
IP!10436G!MK!1 mg!706031000168100!pembrolizumab!840381000168107!pembrolizumab 100 mg/4 mL injection, vial!Keytruda!840391000168105!Keytruda 100 mg/4 mL injection, 4 mL vial!100!200!4025.00!4025.00!
IP!10493G!MK!1 mg!706031000168100!pembrolizumab!840381000168107!pembrolizumab 100 mg/4 mL injection, vial!Keytruda!840391000168105!Keytruda 100 mg/4 mL injection, 4 mL vial!100!200!4025.00!4025.00!
IP!10407R!RO!1 mg!654101000168100!obinutuzumab!654111000168102!obinutuzumab 1 g/40 mL injection, vial!Gazyva!654121000168109!Gazyva 1 g/40 mL injection, 40 mL vial!1000!1000!5293.00!5293.00!
IP!10760H!JC!1 mg!680301000168101!bendamustine!680361000168100!bendamustine hydrochloride 100 mg injection, vial!Ribomustin!680371000168106!Ribomustin 100 mg powder for injection, 100 mg vial!100!200!807.32!807.32!
IP!10760H!JC!1 mg!680301000168101!bendamustine!680311000168103!bendamustine hydrochloride 25 mg injection, vial!Ribomustin!680321000168105!Ribomustin 25 mg powder for injection, 25 mg vial!25!200!201.83!201.83!
IP!10881Q!RO!1 mg!44904011000036105!bevacizumab!45380011000036101!bevacizumab 100 mg/4 mL injection, vial!Avastin!40416011000036104!Avastin 100 mg/4 mL injection, 4 mL vial!100!1800!303.94!303.94!
IP!10881Q!RO!1 mg!44904011000036105!bevacizumab!45381011000036108!bevacizumab 400 mg/16 mL injection, vial!Avastin!40417011000036101!Avastin 400 mg/16 mL injection, 16 mL vial!400!1800!1215.75!1215.75!
IP!10691Q!FF!1 mg!79088011000036104!arsenic!79114011000036104!arsenic trioxide 10 mg/10 mL injection, vial!Phenasen!78669011000036101!Phenasen 10 mg/10 mL injection, 10 mL vial!10!18!243.50!243.50!
IP!10691Q!JU!1 mg!79088011000036104!arsenic!79114011000036104!arsenic trioxide 10 mg/10 mL injection, vial!Arsenic Trioxide Juno!509541000144102!Arsenic trioxide (Juno) 10 mg/10 mL injection, 10 x 10 mL vials!10!18!243.50!243.50!
IP!11272G!MF!1 mg!805081000168107!pralatrexate!805241000168106!pralatrexate 20 mg/mL injection, vial!Folotyn!805251000168108!Folotyn 20 mg/mL injection, vial!20!80!1090.00!1090.00!
IP!10745M!BQ!1 mg!759531000168107!nivolumab!759591000168106!nivolumab 100 mg/10 mL injection, vial!Opdivo!759601000168104!Opdivo 100 mg/10 mL injection, 10 mL vial!100!480!2076.75!2076.75!
IP!10745M!BQ!1 mg!759531000168107!nivolumab!759541000168103!nivolumab 40 mg/4 mL injection, vial!Opdivo!759551000168101!Opdivo 40 mg/4 mL injection, 4 mL vial!40!480!830.70!830.70!
IP!11158G!BQ!1 mg!759531000168107!nivolumab!759591000168106!nivolumab 100 mg/10 mL injection, vial!Opdivo!759601000168104!Opdivo 100 mg/10 mL injection, 10 mL vial!100!480!2076.75!2076.75!
IP!11158G!BQ!1 mg!759531000168107!nivolumab!759541000168103!nivolumab 40 mg/4 mL injection, vial!Opdivo!759551000168101!Opdivo 40 mg/4 mL injection, 4 mL vial!40!480!830.70!830.70!
IP!10764M!BQ!1 mg!759531000168107!nivolumab!759591000168106!nivolumab 100 mg/10 mL injection, vial!Opdivo!759601000168104!Opdivo 100 mg/10 mL injection, 10 mL vial!100!480!2076.75!2076.75!
IP!10764M!BQ!1 mg!759531000168107!nivolumab!759541000168103!nivolumab 40 mg/4 mL injection, vial!Opdivo!759551000168101!Opdivo 40 mg/4 mL injection, 4 mL vial!40!480!830.70!830.70!
IP!11293J!MF!1 mg!805081000168107!pralatrexate!805241000168106!pralatrexate 20 mg/mL injection, vial!Folotyn!805251000168108!Folotyn 20 mg/mL injection, vial!20!80!1090.00!1090.00!
IP!11212D!EI!1 mg!668911000168104!eribulin!668921000168106!eribulin mesilate 1 mg/2 mL injection, vial!Halaven!668931000168109!Halaven 1 mg/2 mL injection, 2 mL vial!1!3!228.00!228.00!
IP!11229B!AN!1 mg!904401000168103!carfilzomib!955461000168109!carfilzomib 30 mg injection, vial!Kyprolis!955471000168103!Kyprolis 30 mg powder for injection, 30 mg vial!30!120!634.47!634.47!
IP!11229B!AN!1 mg!904401000168103!carfilzomib!904411000168100!carfilzomib 60 mg injection, vial!Kyprolis!904421000168107!Kyprolis 60 mg powder for injection, 60 mg vial!60!120!1268.94!1268.94!
IP!11229B!AN!1 mg!904401000168103!carfilzomib!1158761000168105!carfilzomib 10 mg injection, vial!Kyprolis!1158771000168104!Kyprolis 10 mg powder for injection, 10 mg vial!10!120!211.49!211.49!
IP!11118E!AN!1 mcg!764951000168103!blinatumomab!764961000168101!blinatumomab 38.5 microgram injection, vial!Blincyto!764971000168107!Blincyto (blinatumomab 38.5 microgram) powder for injection, 38.5 microgram vial!28!651!2904.77!2904.77!
IP!11073T!TK!1 mg!678231000168105!brentuximab vedotin!678241000168101!brentuximab vedotin 50 mg injection, vial!Adcetris!678251000168104!Adcetris 50 mg powder for injection, 50 mg vial!50!200!4655.00!4655.00!
IP!11079D!TK!1 mg!678231000168105!brentuximab vedotin!678241000168101!brentuximab vedotin 50 mg injection, vial!Adcetris!678251000168104!Adcetris 50 mg powder for injection, 50 mg vial!50!200!4655.00!4655.00!
IP!11087M!TK!1 mg!678231000168105!brentuximab vedotin!678241000168101!brentuximab vedotin 50 mg injection, vial!Adcetris!678251000168104!Adcetris 50 mg powder for injection, 50 mg vial!50!200!4655.00!4655.00!
IP!11150W!BQ!1 mg!759531000168107!nivolumab!759591000168106!nivolumab 100 mg/10 mL injection, vial!Opdivo!759601000168104!Opdivo 100 mg/10 mL injection, 10 mL vial!100!480!2076.75!2076.75!
IP!11150W!BQ!1 mg!759531000168107!nivolumab!759541000168103!nivolumab 40 mg/4 mL injection, vial!Opdivo!759551000168101!Opdivo 40 mg/4 mL injection, 4 mL vial!40!480!830.70!830.70!
IP!11160J!BQ!1 mg!759531000168107!nivolumab!759591000168106!nivolumab 100 mg/10 mL injection, vial!Opdivo!759601000168104!Opdivo 100 mg/10 mL injection, 10 mL vial!100!480!2076.75!2076.75!
IP!11160J!BQ!1 mg!759531000168107!nivolumab!759541000168103!nivolumab 40 mg/4 mL injection, vial!Opdivo!759551000168101!Opdivo 40 mg/4 mL injection, 4 mL vial!40!480!830.70!830.70!
IP!11120G!AN!1 mcg!764951000168103!blinatumomab!764961000168101!blinatumomab 38.5 microgram injection, vial!Blincyto!764971000168107!Blincyto (blinatumomab 38.5 microgram) powder for injection, 38.5 microgram vial!28!784!2904.77!2904.77!
IP!11117D!AN!1 mcg!764951000168103!blinatumomab!764961000168101!blinatumomab 38.5 microgram injection, vial!Blincyto!764971000168107!Blincyto (blinatumomab 38.5 microgram) powder for injection, 38.5 microgram vial!28!784!2904.77!2904.77!
IP!11153B!BQ!1 mg!759531000168107!nivolumab!759591000168106!nivolumab 100 mg/10 mL injection, vial!Opdivo!759601000168104!Opdivo 100 mg/10 mL injection, 10 mL vial!100!480!2076.75!2076.75!
IP!11153B!BQ!1 mg!759531000168107!nivolumab!759541000168103!nivolumab 40 mg/4 mL injection, vial!Opdivo!759551000168101!Opdivo 40 mg/4 mL injection, 4 mL vial!40!480!830.70!830.70!
IP!11330H!MK!1 mg!706031000168100!pembrolizumab!840381000168107!pembrolizumab 100 mg/4 mL injection, vial!Keytruda!840391000168105!Keytruda 100 mg/4 mL injection, 4 mL vial!100!200!4025.00!4025.00!
IP!11435W!BQ!1 mg!759531000168107!nivolumab!759541000168103!nivolumab 40 mg/4 mL injection, vial!Opdivo!759551000168101!Opdivo 40 mg/4 mL injection, 4 mL vial!40!480!830.70!830.70!
IP!11435W!BQ!1 mg!759531000168107!nivolumab!759591000168106!nivolumab 100 mg/10 mL injection, vial!Opdivo!759601000168104!Opdivo 100 mg/10 mL injection, 10 mL vial!100!480!2076.75!2076.75!
IP!11411N!BQ!1 mg!759531000168107!nivolumab!759541000168103!nivolumab 40 mg/4 mL injection, vial!Opdivo!759551000168101!Opdivo 40 mg/4 mL injection, 4 mL vial!40!480!830.70!830.70!
IP!11411N!BQ!1 mg!759531000168107!nivolumab!759591000168106!nivolumab 100 mg/10 mL injection, vial!Opdivo!759601000168104!Opdivo 100 mg/10 mL injection, 10 mL vial!100!480!2076.75!2076.75!
